Population;Fish ID;Replicat;Fish Weight (g);Fish Standard length (cm);Time for shelter test (h);Temperature for shelter test (°C);Time for new env test (h);Temperature for new env test (°C);Cumulative duration in shelter (s);Total distance moved (cm)
EPP;EPP1106;2;0,397;2,967;08:50;27,0;15:35;32,3;94,84;2370,83
EPP;EPP1107;2;0,413;3,033;11:10;27,7;16:40;29,7;84,8;2694,96
EPP;EPP1110;2;0,302;2,733;11:54;28,1;17:47;30,2;56,96;3112,32
EPP;EPP1113;2;0,383;2,917;11:10;27,6;16:40;32,0;206,36;2504,83
EPP;EPP1114;2;0,347;2,792;08:50;27,2;15:35;32,1;531,36;1585,44
EPP;EPP1123;2;0,346;2,763;08:02;23,4;15:05;28,1;405,08;1352,05
EPP;EPP1125;2;0,307;2,712;11:10;27,7;16:40;29,6;682,96;2021,64
EPP;EPP1127;2;0,324;2,766;10:22;28,0;17:10;31,1;202,92;3906,81
EPP;EPP1130;2;0,418;2,764;10:22;27,0;17:10;31,0;138,36;2927,02
EPP;EPP1133;2;0,358;2,845;11:54;28,0;17:47;30,3;252,12;1746,03
EPP;EPP1137;2;0,441;3,12;08:02;23,4;15:05;27,6;110,92;1882,05
EPP;EPP1139;2;0,369;3,033;08:02;23,6;15:05;27,5;201,64;2151,82
EPP;EPP1438;2;0,276;2,599;09:55;27;14:40;30,6;171,72;1645,4
EPP;EPP1441;2;0,424;3,032;09:55;27,3;14:40;30,6;175,4;2570,87
EPP;EPP1443;2;0,317;2,725;09:55;27,2;14:40;30,7;454,96;1710,55
EPP;EPP1448;2;0,38;2,798;10:43;28,9;15:15;30,8;255,6;1934,59
EPP;EPP1450;2;0,408;2,934;10:43;28,4;15:15;30,8;249,76;2935,38
EPP;EPP1451;2;0,369;2,834;10:43;28,9;15:15;29,9;565,24;1906,83
EPP;EPP1452;2;0,305;2,607;11:45;28,1;15:47;30,5;645,72;1459,01
EPP;EPP1453;2;0,367;2,894;11:45;27,7;15:47;30,5;453,32;2226,58
EPP;EPP1456;2;0,278;2,597;11:45;27,9;15:47;30,0;902,88;1109,46
EPP;EPP1461;2;0,45;3,024;12:28;27,4;16:18;30,4;328,92;2205,8
EPP;EPP1463;2;0,301;2,637;12:28;27,5;16:18;30,4;495,96;2217,79
EPP;EPP1464;2;0,6;3,298;12:28;27,8;16:18;30,4;782,76;1200,51
Long Caye;CA1-3;1;0,746;3,49;07:51;28;16:34;30,7;277,553;2400,62
Long Caye;CA1-4;1;0,228;2,335;10:33;30,4;18:25;30,1;85,1579;2697,71
Long Caye;CA1-5;1;0,3;2,568;07:51;27,9;16:34;30,6;439,749;738,446
Long Caye;CA1-6;1;0,225;2,334;11:56;31,5;19:52;29,5;269,92;1809,02
Long Caye;CA1-7;1;0,259;2,405;07:51;27,9;16:34;30,6;79,558;2879,82
Long Caye;CA1-8;1;0,565;3,038;08:41;28,6;17:17;30,6;199,795;1379,14
Long Caye;CA1-9;1;0,183;2,111;14:48;31,8;20:28;29,1;42,5989;2992,86
Long Caye;CA1-10;1;0,3;2,535;08:41;28,6;17:17;30,6;222,234;1523,16
Long Caye;CA1-11;1;0,197;2,192;15:35;31,7;20:28;29,1;18,2395;2709,5
Long Caye;CA1-12;1;0,53;3,142;11:29;31,2;19:51;29,1;385,95;1873,92
Long Caye;CA1-13;1;0,348;2,617;09:33;29,1;17:50;30,2;275,113;1407,11
Long Caye;CA1-14;1;0,196;2,173;11:29;31,3;19:51;29,2;202,875;1333,8
Long Caye;CA1-15;1;0,328;2,565;10:33;30,1;18:25;29,9;0,039999;432,969
Long Caye;CA1-16;1;0,474;2,958;08:52;29,7;17:08;31,1;151,56;2129,61
Long Caye;CA1-17;1;0,333;2,625;10:15;28,8;17:35;30,8;51,8;3453,61
Long Caye;CA1-18;1;0,307;2,455;14:38;33,3;13:53;32,4;1200,04;1,26093
Long Caye;CA1-19;1;0,329;2,705;14:38;33,2;13:53;32,3;66,2;2799,72
Long Caye;CA3-1;1;0,382;2,77;09:33;29;17:50;30,2;60,2785;3098,34
Long Caye;CA3-2;1;0,275;2,423;11:29;31,4;20:28;29;322,992;1555,3
Long Caye;CA3-3;1;0,467;2,872;08:41;28,8;17:17;30,4;420,949;1287,34
Long Caye;CA3-4;1;0,239;2,368;09:33;29,1;17:50;30,3;46,1188;1330,94
Long Caye;CA3-5;1;0,625;3,309;14:48;31,9;19:51;29,2;102,357;3312,14
Long Caye;CA3-6;1;0,425;2,949;10:33;30,3;18:25;29,9;147,756;1118,45
Long Caye;CA4-1;1;0,773;3,425;11:05;30,3;18:08;30,2;67,28;873,321
Long Caye;CA4-2;1;0,258;2,43;11:05;30,4;18:08;30,3;198,36;1776,9
Long Caye;CA4-3;1;0,365;2,702;08:52;29,8;17:08;30,6;76,24;2319,96
Long Caye;CA4-4;1;0,414;2,706;11:56;31,5;19:52;29,1;0,12;1715,94
Long Caye;CA4-5;1;0,411;2,755;10:15;29,4;17:35;31;702,64;445,349
Long Caye;CA1-3;2;0,746;3,49;08:12;29,2;13:53;32,3;107,84;1409,31
Long Caye;CA1-4;2;0,228;2,335;10:58;31,6;16:08;31,4;123,24;2923,67
Long Caye;CA1-5;2;0,3;2,568;08:12;29,2;14:38;32,2;654,12;953,093
Long Caye;CA1-6;2;0,225;2,334;10:20;30,8;16:38;31,9;138,84;3120,44
Long Caye;CA1-7;2;0,259;2,405;08:12;28,9;14:38;32;61,52;2911,7
Long Caye;CA1-8;2;0,565;3,038;09:07;29,9;15:15;31,8;137,8;2288,91
Long Caye;CA1-9;2;0,183;2,111;13:43;33,1;17:56;29,8;1,84;2024,18
Long Caye;CA1-10;2;0,3;2,535;09:07;29,8;15:15;31,8;5,68;2811,23
Long Caye;CA1-11;2;0,197;2,192;13:43;33,1;17:56;30,1;79,52;2443,47
Long Caye;CA1-12;2;0,53;3,142;11:48;32,2;17:20;30,8;120,8;3211,98
Long Caye;CA1-13;2;0,348;2,617;10:05;30,7;16:08;31,3;584,96;1438,94
Long Caye;CA1-14;2;0,196;2,173;11:48;32,4;16:43;31,2;93,4;2309,76
Long Caye;CA1-15;2;0,328;2,565;10:58;31,4;16:43;31,1;12,64;2991,45
Long Caye;CA1-16;2;0,474;2,958;08:28;29,7;15:30;32,8;22,88;1107,72
Long Caye;CA1-17;2;0,333;2,625;09:25;31,2;16:04;32,4;110,36;3301,37
Long Caye;CA1-18;2;0,307;2,455;06:13;29,5;16:04;31,5;36,12;1848,57
Long Caye;CA1-19;2;0,329;2,705;06:13;29,5;16:04;31,1;78,48;2300,78
Long Caye;CA3-1;2;0,382;2,77;10:05;31;15:15;31,8;29,56;2313,39
Long Caye;CA3-2;2;0,275;2,423;11:48;32,3;17:20;30,7;33,36;2479,08
Long Caye;CA3-3;2;0,467;2,872;09:07;30;14:38;31,9;50,28;2613,38
Long Caye;CA3-4;2;0,239;2,368;10:05;30,9;16:08;31,2;286,32;2128,81
Long Caye;CA3-5;2;0,625;3,309;13:43;33,3;17:20;30,8;4,64;2770,92
Long Caye;CA3-6;2;0,425;2,949;10:58;31,8;16:43;31;138,04;2373,29
Long Caye;CA4-1;2;0,773;3,425;09:25;31;16:04;32,3;24,08;2909,16
Long Caye;CA4-2;2;0,258;2,43;09:25;30,4;16:04;32,3;113,68;2355,55
Long Caye;CA4-3;2;0,365;2,702;08:28;29,6;15:30;33;127,44;2067,79
Long Caye;CA4-4;2;0,414;2,706;10:20;31,1;16:38;31,2;114,68;2969,23
Long Caye;CA4-5;2;0,411;2,755;08:28;29,7;15:30;32,9;135,48;2117,01
Long Key;LK7;1;0,361;2,789;08:30;31,1;18:30;33,7;561,04;2069,5
Long Key;LK1;1;0,388;2,853;09:18;31,4;19:05;33,5;456,16;1873,82
Long Key;LK5;1;0,321;2,763;10:07;31,9;19:43;32,9;651;1438,86
Long Key;LK6;1;0,348;2,831;10:55;32,9;20:10;33,0;720,76;1230,77
Long Key;LK20;1;0,23;2,406;11:44;32,3;20:43;32,4;659;1993,63
Long Key;LK8;1;0,246;2,449;12:30;33,7;21:15;31,7;500,88;1277,15
Long Key;LK27;1;0,197;2,22;14:00;34,3;17:58;33,6;763,68;1153,25
Long Key;LK33;1;0,748;3,512;14:48;34,6;19:06;33,2;303,72;2797,39
Long Key;LK35;1;0,303;2,688;15:52;34,5;19:35;32,7;549,24;1354,97
Long Key;LK36;1;0,25;2,424;16:38;34,9;20:33;31,6;175,12;2156,68
Long Key;LK19;1;0,434;2,951;08:30;31,3;18:30;33,7;361,32;2463,31
Long Key;LK14;1;0,303;2,668;09:18;31,2;19:05;33,6;198,56;2391,43
Long Key;LK16;1;0,225;2,38;10:07;31,9;19:43;33,2;1101,92;260,182
Long Key;LK18;1;0,26;2,454;10:55;32,4;20:10;32,7;922,16;728,08
Long Key;LK22;1;0,298;2,625;11:44;32,7;20:43;32,5;1074,44;273,622
Long Key;LK13;1;0,547;3,163;12:30;33,6;21:15;31,5;268,08;1845,79
Long Key;LK24;1;0,285;2,546;14:00;34,3;17:58;33,4;429,88;2180,24
